,Knn,Naive Bayes,Decision tree
0,0.838709677419,0.838709677419,0.806451612903
1,0.645161290323,0.806451612903,0.709677419355
2,0.548387096774,0.612903225806,0.483870967742
3,0.774193548387,0.774193548387,0.612903225806
4,0.774193548387,0.741935483871,0.645161290323
5,0.709677419355,0.612903225806,0.806451612903
6,0.833333333333,0.833333333333,0.733333333333
7,0.633333333333,0.733333333333,0.633333333333
8,0.633333333333,0.766666666667,0.333333333333
9,0.633333333333,0.733333333333,0.666666666667
